,Node,Topic,Size,Msg Received,Msg Late,Msg Too Late,Msg Lost,Mean,Std,Min,Max,Freq,Throughput,Pub/Sub Type,Architecture,RMW,Test Duration,CPU Stress,IPC
78,obstacle_detector,repulsive_vector,24,0,0,0,0,83,197,15,4371,10,0.234708,Publisher,simple,fast,60,high,1
79,object_tracker,attractive_vector,24,0,0,0,0,84,207,17,4780,10,0.234523,Publisher,simple,fast,60,high,1
80,ai_detector,out_detection_2d,2928,0,0,0,0,70,70,19,827,10,28.632,Publisher,simple,fast,60,high,1
81,camera,camera_info,376,0,0,0,0,75,274,13,9511,25,9.16254,Publisher,simple,fast,60,high,1
82,camera,rgb_image,921600,0,0,0,0,69,142,14,3867,25,22485.0,Publisher,simple,fast,60,high,1
83,laser,scan,8728,0,0,0,0,71,99,18,1774,10,85.241,Publisher,simple,fast,60,high,1
84,follower,attractive_vector,24,600,0,0,0,361,81,99,640,10,0.234376,Subscription,simple,cyclone,60,low,0
85,follower,repulsive_vector,24,600,0,0,0,405,85,164,692,10,0.234376,Subscription,simple,cyclone,60,low,0
86,obstacle_detector,scan,8728,600,0,0,0,427,168,219,3357,10,85.2352,Subscription,simple,cyclone,60,low,0
87,object_tracker,out_detection_2d,2928,600,0,0,0,453,70,269,824,10,28.5942,Subscription,simple,cyclone,60,low,0
88,ai_detector,camera_info,376,1500,0,0,0,400,149,143,3483,25,9.1798,Subscription,simple,cyclone,60,low,0
89,ai_detector,rgb_image,921600,1500,0,0,0,803,122,439,2925,25,22501.0,Subscription,simple,cyclone,60,low,0
90,base_controller,cmd_vel,48,600,0,0,0,370,94,131,658,10,0.468751,Subscription,simple,cyclone,60,low,0
91,follower,cmd_vel,48,0,0,0,0,69,29,14,129,10,0.468748,Publisher,simple,cyclone,60,low,0
92,obstacle_detector,repulsive_vector,24,0,0,0,0,85,38,29,181,10,0.234375,Publisher,simple,cyclone,60,low,0
93,object_tracker,attractive_vector,24,0,0,0,0,70,33,21,118,10,0.234376,Publisher,simple,cyclone,60,low,0
94,ai_detector,out_detection_2d,2928,0,0,0,0,122,35,60,224,10,28.594,Publisher,simple,cyclone,60,low,0
95,camera,camera_info,376,0,0,0,0,90,36,23,375,25,9.17974,Publisher,simple,cyclone,60,low,0
96,camera,rgb_image,921600,0,0,0,0,216,54,87,1755,25,22500.2,Publisher,simple,cyclone,60,low,0
97,laser,scan,8728,0,0,0,0,98,54,38,772,10,85.2345,Publisher,simple,cyclone,60,low,0
98,follower,attractive_vector,24,600,0,0,0,504,246,117,1123,10,0.234373,Subscription,simple,cyclone,60,low,1
99,follower,repulsive_vector,24,600,0,0,0,450,172,127,1766,10,0.234374,Subscription,simple,cyclone,60,low,1
100,obstacle_detector,scan,8728,600,0,0,0,437,126,136,614,10,85.2349,Subscription,simple,cyclone,60,low,1
101,object_tracker,out_detection_2d,2928,600,0,0,0,422,137,140,667,10,28.5941,Subscription,simple,cyclone,60,low,1
102,ai_detector,camera_info,376,1500,0,0,0,488,236,71,1637,25,9.17995,Subscription,simple,cyclone,60,low,1
103,ai_detector,rgb_image,921600,1500,0,0,0,212,104,69,641,25,22500.2,Subscription,simple,cyclone,60,low,1
104,base_controller,cmd_vel,48,600,0,0,0,677,264,165,1415,10,0.468745,Subscription,simple,cyclone,60,low,1
105,follower,cmd_vel,48,0,0,0,0,197,51,49,456,10,0.468748,Publisher,simple,cyclone,60,low,1
106,obstacle_detector,repulsive_vector,24,0,0,0,0,166,68,42,842,10,0.234374,Publisher,simple,cyclone,60,low,1
107,object_tracker,attractive_vector,24,0,0,0,0,160,83,39,704,10,0.234373,Publisher,simple,cyclone,60,low,1
108,ai_detector,out_detection_2d,2928,0,0,0,0,163,61,46,312,10,28.5938,Publisher,simple,cyclone,60,low,1
109,camera,camera_info,376,0,0,0,0,128,75,17,639,25,9.17973,Publisher,simple,cyclone,60,low,1
110,camera,rgb_image,921600,0,0,0,0,58,11,21,223,25,22500.1,Publisher,simple,cyclone,60,low,1
111,laser,scan,8728,0,0,0,0,168,55,43,320,10,85.2344,Publisher,simple,cyclone,60,low,1
112,follower,attractive_vector,24,600,0,0,0,196,119,35,827,10,0.234376,Subscription,simple,cyclone,60,medium,0
113,follower,repulsive_vector,24,600,0,0,0,240,133,98,1078,10,0.234375,Subscription,simple,cyclone,60,medium,0
114,obstacle_detector,scan,8728,600,0,0,0,278,142,93,1066,10,85.2352,Subscription,simple,cyclone,60,medium,0
